codice_regione;denominazione_regione;ente;codice_tipo_struttura;tipo_struttura;denominazione_struttura;indirizzo;tel;lat;long;post_acuzie_attivi;post_acuzie_attivabili;post_acuzie_tot;url
14;Puglia;ASLLE;2;Ospedale COVID-19 Post acuzie;Ospedale di Copertino;Via Carmiano, 73043 Copertino LE;0832 936111;40.278637;18.046520;150;0;150;https://www.sanita.puglia.it/web/asl-lecce/ospedali_det/-/journal_content/56/25176/ospedale-san-giuseppe-da-copertino-
14;Puglia;ASLLE;2;Ospedale COVID-19 Post acuzie;Ospedale di San Cesario;Via Croce di Lecce, 10, 73016 San Cesario di Lecce LE;0832 215039;40.305069;18.157751;40;0;40;https://www.sanita.puglia.it/web/asl-lecce/ospedali_det/-/journal_content/56/25176/ospedale-a-galateo-
14;Puglia;ASLTA;2;Ospedale COVID-19 Post acuzie;Ospedale San Marco - Grottaglie;Via G. Pignatelli, 74023 Grottaglie TA;099 860111;40.539001;17.425936;32;0;32;https://www.sanita.puglia.it/web/asl-taranto/ospedali_det/-/journal_content/56/36057/ospedale-san-marco-
14;Puglia;ASLBT;2;Ospedale COVID-19 Post acuzie;Ospedale Caduti in Guerra - Canosa di Puglia;Via Giovanni Bovio, 81, 76012 Canosa di Puglia BT;0883 641334;41.225744;16.072275;10;20;30;https://www.sanita.puglia.it/web/asl-barletta-andria-trani/ospedali_det/-/journal_content/56/36008/ospedale-caduti-in-guerra-canosa-di-puglia
14;Puglia;ASLBA;2;Ospedale COVID-19 Post acuzie;Ospedale Francesca Fallacara - Triggiano ;Viale Aldo Moro, 32, 70019 Triggiano BA;080 462 6111;41.066450;16.926822;23;0;23;https://www.sanita.puglia.it/web/asl-bari/ospedali_det/-/journal_content/56/25619/ospedale-f-fallacara-triggiano
14;Puglia;ASLBA;2;Ospedale COVID-19 Post acuzie;Ospedale Michele Sarcone - Terlizzi ;Via Pasquale Fiore, 135, 70038 Terlizzi BA;080 3608499;41.131662;16.535388;0;40;40;https://www.sanita.puglia.it/web/asl-bari/ospedali_det/-/journal_content/56/25619/ospedale-m-sarcone-terlizzi
14;Puglia;ASLBR;2;Ospedale COVID-19 Post acuzie;Ospedale di Comunità - Cisternino;Via Regina Margherita, 72014 Cisternino BR;080 4390612;40.741007;17.429986;12;4;16;https://www.sanita.puglia.it/web/asl-brindisi/ospedali-di-comunita1_det/-/journal_content/56/36031/ospedale-di-comunita-di-cisternino
14;Puglia;ASLBR;2;Ospedale COVID-19 Post acuzie;Ospedale di Comunità - Ceglie Messapica;Largo Cappuccini, 72013 Ceglie Messapica BR;0831 377190;40.644142;17.517804;12;6;18;https://www.sanita.puglia.it/web/asl-brindisi/ospedali-di-comunita1_det/-/journal_content/56/36031/ospedale-di-comunita-di-ceglie-messapica
14;Puglia;ASLBR;2;Ospedale COVID-19 Post acuzie;Ospedale di Comunità - Fasano;Via Nazionale dei Trulli, 95, 72015 Fasano BR;080 4390205;40.832582;17.356638;10;2;12;https://www.sanita.puglia.it/web/asl-brindisi/ospedali-di-comunita1_det/-/journal_content/56/36031/ospedale-di-comunita-fasano
14;Puglia;ASLBR;2;Ospedale COVID-19 Post acuzie;Ospedale di Comunità - Mesagne;Via Labanchi, 1, 72023 Mesagne BR;0831 739429;40.555037;17.813023;12;4;16;https://www.sanita.puglia.it/web/asl-brindisi/ospedali-di-comunita1_det/-/journal_content/56/36031/ospedale-di-comunita-di-mesagne
14;Puglia;ASLTA;2;Ospedale COVID-19 Post acuzie;Presidio Territoriale di Assistenza - Massafra;Viale Magna Grecia s.c. 74016 MASSAFRA TA;099 8850512;40.583073;17.123259;12;0;12;https://www.sanita.puglia.it/web/asl-taranto/ricerca_det/-/journal_content/56/36057/presidio-territoriale-di-assistenza-massafra
14;Puglia;ASLTA;2;Ospedale COVID-19 Post acuzie;Presidio Territoriale di Assistenza - Mottola;Via Silvio Pellico, 74017 Mottola TA;099 8870251;40.635523;17.028388;0;20;20;https://www.sanita.puglia.it/web/asl-taranto/ricerca_det/-/journal_content/56/36057/s-i-a-v-area-b-mottola-sede-periferica-territoriale
14;Puglia;ASLFG;2;Ospedale COVID-19 Post acuzie;Unità di degenza territoriale - San Nicandro G.co;71015, Via Matteo del Campo, 71015 San Nicandro Garganico FG;0882 418249;41.831722;15.576556;0;20;20;https://www.sanita.puglia.it/web/asl-foggia/ospedali-di-comunita_det/-/journal_content/56/36044/s-nicandro-g-co-u-d-t-unita-di-degenza-territoriale
14;Puglia;ASLFG;2;Ospedale COVID-19 Post acuzie;Unità di degenza territoriale - Torremaggiore;Via Salvatore Ciaccia, 1, 71017 Torremaggiore FG;0882 383621;41.694559;15.293252;0;12;12;https://www.sanita.puglia.it/web/asl-foggia/ospedali-di-comunita_det/-/journal_content/56/36044/torremaggiore-u-d-t-unita-di-degenza-territoriale
14;Puglia;ASLFG;2;Ospedale COVID-19 Post acuzie;Unità di degenza territoriale - Vico del Gargano;Via G. di Vagno, 1, 71018 Vico del Gargano FG;0884 993803;41.896275;15.959572;0;12;12;https://www.sanita.puglia.it/web/asl-foggia/ospedali-di-comunita_det/-/journal_content/56/36044/vico-del-gargano-u-d-t-unita-di-degenza-territoriale
14;Puglia;ASLFG;2;Ospedale COVID-19 Post acuzie;Unità di degenza territoriale - Vieste;Località Coppitella 71019 Vieste FG;0884 711220;41.876997;16.162423;0;10;10;https://www.sanita.puglia.it/web/asl-foggia/ospedali-di-comunita_det/-/journal_content/56/36044/vieste-u-d-t-unita-di-degenza-territoriale
