aggiornamento,totale,positivi,deceduti,guariti
2020-02-24 12:00:00,219,213,5,1
2020-02-24 18:00:00,229,222,6,1
2020-02-25 12:00:00,283,275,7,1
2020-02-25 18:00:00,322,311,10,1
2020-02-26 12:00:00,374,361,12,1
2020-02-26 18:00:00,400,385,12,3
2020-02-27 12:00:00,474,385,12,42
2020-02-27 18:00:00,650,593,12,45
2020-02-28 18:00:00,821,754,21,46
2020-02-29 18:00:00,1128,1049,29,50
2020-03-01 18:00:00,1694,1577,34,83
2020-03-02 18:00:00,2036,1835,52,149
2020-03-03 18:00:00,2502,2263,79,160
2020-03-04 18:00:00,3089,2706,107,276
2020-03-05 18:00:00,3858,3296,148,414
2020-03-06 18:00:00,4636,3916,197,523
2020-03-07 18:00:00,5883,5061,233,589
